img_id,caption_id,caption,caption_ru
42507,592380,A couple of small children standing on top of a sandy beach.,"Пара маленьких детей, стоящих на песчаном пляже."
373768,453523,Two young boys playing Wii games on the television.,Два мальчика играют в игры Wii по телевизору.
480000,667132,The plates of food are ready to serve.,Тарелки с едой готовы к подаче.
507927,418966,a number of people riding motorcycles on a city street,несколько человек едут на мотоциклах по городской улице
219688,707581,Roadway intersection near large brick building in city.,Перекресток возле большого кирпичного здания в городе.
526360,750527,this is a man with two computers on a tablwe,человек с двумя компьютерами на столе
488832,117935,A large sandwich sitting on top of a table.,Большой бутерброд лежит на столе.
574350,314929,different groups of people walking and holding opened umbrellas,разные группы людей ходят и держат раскрытые зонтики
462324,810037,a male skateboarder in a white shirt is doing a trick,мужчина скейтбордист в белой рубашке делает трюк
437049,305067,The people are at tables on an outdoor patio.,Люди сидят за столиками во внутреннем дворике.
240915,230874,a close up of an open umbrella on a a fence,крупный план открытого зонта на заборе
364919,145917,A bridge filled with blue and white buses.,"Мост, заполненный синими и белыми автобусами."
193946,401097,A group of monks standing on a street holding an umbrella.,Группа монахов стоит на улице с зонтиком.
504747,333173,A woman standing in a kitchen preparing food.,Женщина стоит на кухне и готовит еду.
545583,288076,a person on skis jumping down part of a hill,человек на лыжах прыгает с части холма
486112,687489,A man is spraying an elephant with a water hose.,Мужчина поливает слона водой из шланга.
130773,344534,A little boy is all grins as he is shown a toad sitting on a Frisbee.,"Маленький мальчик улыбается, когда ему показывают жабу, сидящую на фрисби."
216910,108596,a man holding onto a surfboard while standing next to a tree,"мужчина держится за доску для серфинга, стоя рядом с деревом"
65433,554945,A person is standing in front of a dog.,Человек стоит перед собакой.
74349,677549,A snowboarder in mid air after a jump,Сноубордист в воздухе после прыжка
116434,270631,A silhouette of a man surfing over waves.,"Силуэт человека, плывущего по волнам."
92847,29475,A man attacked a group of children armed with shields and spears.,"Мужчина напал на группу детей, вооруженных щитами и копьями."
84980,64233,a dog is herding some sheep and some people are watching,"собака пасет овец, а люди смотрят"
514773,703687,A desktop computer sitting on top of a wooden desk.,Настольный компьютер стоит на деревянном столе.
255630,428434,A person riding a wave on top of a board.,"Человек, оседлавший волну на доске."
212470,590637,A couple of men standing in front of a horse near  couple of dogs and a tree.,"Пара мужчин, стоящих перед лошадью рядом с парой собак и деревом."
187036,591735,Two large ships sitting next to a dock under a cloudy blue sky.,Два больших корабля около причала под облачным голубым небом.
510955,526999,A very pretty lady with a oven mitt in a kitchen.,Очень красивая дама с прихваткой на кухне.
386187,157018,a person getting a drink with a person behind the bar,человек выпивает с человеком за барной стойкой
212288,217838,A city worker repairing a traffic light over a street.,Городской рабочий ремонтирует светофор над улицей.
148999,5307,A biilboard with a railcar in front of it.,Рекламный щит с вагоном перед ним.
185250,502931,A woman standing next to a  brown and white dog.,"Женщина, стоящая рядом с коричнево-белой собакой."
318721,43552,A woman looking at a polar bear through glass.,Женщина смотрит на белого медведя через стекло.
322261,167548,A little boy sitting on top of a skateboard.,Маленький мальчик сидит на скейтборде.
92894,423148,A baseball player is getting into his batting stance.,Бейсболист становится в стойку для отбивания мяча.
37783,272840,A young boy riding a skateboard down the side of a ramp.,Мальчик катается на скейтборде по рампе.
63965,318929,A woman holding a plate of cake covered in frosting.,"Женщина держит тарелку с тортом, покрытым глазурью."
278290,49334,Two men in cloaks ride skateboards down the sidewalk.,Двое мужчин в плащах катаются на скейтбордах по тротуару.
5032,206848,A woman and a kid are standing on skis in the snow.,Женщина и ребенок стоят на лыжах в снегу.
8042,786067,A boy and girl playing a game with remote controllers.,Мальчик и девочка играют в игру с пультами дистанционного управления.
396556,165755,A brown dog pulling on a hand holding a frisbee.,Коричневая собака тянет руку с фрисби.
360877,429203,A store with lots of unripe bananas and other products.,Магазин с большим количеством незрелых бананов и других продуктов.
163333,48653,A man standing by a large air gondola that is docked in a station,"Мужчина стоит около большой кабины канатной дороги, пришвартованной на станции."
85527,439728,A man in a tuxedo is holding a beer,Мужчина в смокинге держит пиво
330911,735339,A man flying through the air while riding a snowboard.,Человек летит по воздуху во время катания на сноуборде.
370208,731512,A bike parked in front of a parking meter.,"Велосипед, припаркованный перед парковочным счетчиком."
467540,646108,The man is fishing from a canoe in the river.,Мужчина ловит рыбу с каноэ в реке.
443053,38064,a young person riding a surf board on a wave,молодой человек катается на доске для серфинга на волне
490225,221281,A large jetliner sitting on top of an airport tarmac.,Большой реактивный лайнер на взлетно-посадочной полосе аэропорта.
342869,779433,A woman looking out the window of a train.,Женщина выглядывает из окна поезда.
331604,219543,Kite surfer in the air on top of a red board.,Кайтсерфер в воздухе на красной доске.
25804,96850,A family of five takes a ride on an elephant.,Семья из пяти человек катается на слоне.
418625,183151,Two zebra laying on a ground next to each other.,Две зебры лежат на земле рядом друг с другом.
462031,773286,A man holding a bat on top of a field under a light.,Мужчина держит биту на поле под фонарем.
465180,246763,A group of elephants being cleaned by their handlers in a river.,Дрессировщики моют несколько слонов в реке.
566529,27803,A bearded middle aged man cuddling a teddy bear.,Бородатый мужчина средних лет обнимает плюшевого мишку.
174633,383675,An adult on skis holding the hand of a child on skis.,Взрослый на лыжах держит за руку ребенка на лыжах.
416059,366601,Two people walk through the snow behind a dog.,Два человека идут по снегу за собакой.
242189,335117,The reflection of a woman carrying a bag over each shoulder in a mirror.,Отражение в зеркале женщины с сумкой на каждом плече.
398158,345830,a guy unwraping a big screen tv in his living room,парень распаковывает телевизор с большим экраном в своей гостиной
305437,108794,A teenaged girl at a booth at an educational fair,Девочка-подросток у стенда на образовательной ярмарке
245414,105630,a little girl walking on a beach with an umbrella,маленькая девочка гуляет по пляжу с зонтиком
100001,656616,Man on ocean beach flying several kites on windy day.,Человек на пляже у океана запускает несколько воздушных змеев в ветреный день.
42752,634861,a man sitting down and facing a big window,мужчина сидит лицом к большому окну
105960,77257,A wind surfer on the ocean with a beach in the background.,Виндсерфер в океане на фоне пляжа.
122040,412236,A group of people stand in shallow water near a wind farm.,Группа людей стоит на мелководье возле ветряной электростанции.
88360,318860,A duo of women playing against each other in frisbee.,"Две женщины, играющие друг против друга во фрисби."
481895,610516,Two surfers riding waves close to the beach.,Два серфера катаются на волнах недалеко от пляжа.
45536,455586,A surfer on his belly riding a wave,Серфер на животе катается на волне
248786,782719,Group of people in restaurant enjoying others and pizza,Группа людей в ресторане хорошо проводит время и наслаждается пиццей
540807,129929,An adult teaching a young person how to ski in the mountains,Взрослый учит ребенка кататься на лыжах в горах
289415,696417,this is a pizza that is sliced up in pieces,"пицца, нарезанная на кусочки"
99219,127422,a person swinging a baseball bat at a baseball,"человек, замахивающийся бейсбольной битой на бейсбольный мяч"
293749,169866,A scene of a park with a plane in the sky in the background.,Парк с самолетом в небе на заднем плане.
401250,134911,A person that is doing a trick in the air.,Человек делает трюк в воздухе.
490051,375154,A group of people with skis walk on the snow.,Группа людей на лыжах идет по снегу.
217654,442950,A man flies high in the air while windsurfing.,Мужчина летит высоко в воздухе во время виндсерфинга.
234518,323876,A girl catching a red frisbee that was  thrown to her.,Девушка ловит брошенную ей красную фрисби.
478906,378191,Three people smile as they pose standing together.,"Три человека улыбаются и позируют, стоя вместе."
114481,573118,A baseball player standing next to a base.,Бейсболист стоит рядом с базой.
452218,597950,A group of young people playing a game of soccer.,Группа молодых людей играет в футбол.
212663,226656,A bus parked next to another bus at a bus stop.,Автобус припарковался рядом с другим автобусом на автобусной остановке.
233090,274573,A boat floating in a harbor of a very large city.,"Лодка, плывущая в гавани очень большого города."
352007,726816,A man in a top hat steering a horse-drawn carriage through the snow.,Мужчина в цилиндре ведет по снегу конную повозку.
422274,495495,A person riding on top of a surfboard on water.,Человек едет на доске для серфинга по воде.
168353,782333,a couple of people that are cutting cake,"пара человек, которые разрезают торт"
115946,392316,A street intersection with old buildings in the background.,Перекресток улиц со старыми зданиями на заднем плане.
191693,345669,A man sitting in a chair playing a guitar in front of a microphone.,Мужчина сидит в кресле и играет на гитаре перед микрофоном.
404847,677052,A group of people with umbrellas on a road.,Группа людей с зонтами на дороге.
121788,154988,A person on skis in the snow pulling on a cord.,Человек на лыжах по снегу тянет за шнур.
3590,598172,A man sticking his head out of a doorway into a rainy city street.,Мужчина высовывает голову из дверного проема на дождливую городскую улицу.
399049,810613,people are skiing down a large snowy mountain,люди катаются на лыжах с большой снежной горы
220764,322160,A person cross country skiing across a snow filled plain.,Человек катается на беговых лыжах по заснеженной равнине.
77063,27183,A jockey riding a horse as it leaps into the air.,"Жокей верхом на лошади, когда она прыгает в воздух."
157269,292868,several men on a street corner repairing a street sign,несколько мужчин на углу улицы ремонтируют дорожный знак
292103,287556,"A person sitting at a table with two plates of food, silverware and a cup on it.","Человек, сидящий за столом с двумя тарелками с едой, столовым серебром и чашкой."
391638,577994,a baby is reaching up and over an oven,ребенок тянется вверх и через духовку
451879,475764,"Baseball players in action, one person dressed in green running while the others in white are looking and reaching toward the ball.","Бейсболисты во время игры, один человек, одетый в зеленое, бежит, а другие в белом смотрят и тянутся к мячу."
477144,547615,A baseball player standing next to home plate holding a bat.,Бейсболист стоит рядом с домашней базой и держит биту.
557923,498401,two people riding bicycles next to each other in a parking lot,два человека едут на велосипедах рядом друг с другом на парковке
49151,270954,A couple of people sitting in a living room in pink chairs.,Пара человек сидит в гостиной на розовых стульях.
247782,104783,An older gentleman sitting in front of a bowl of icecream,Пожилой джентльмен сидит перед тарелкой мороженого
555669,161718,A smiling woman nonetheless cringes as a dog licks her ear.,"Улыбающаяся женщина съеживается, когда собака лижет ее ухо."
449279,40136,Three birthday candles stand lit on a cake.,На торте зажжены три свечи ко дню рождения.
17018,359347,A group of people cross country skiing through a forest.,Группа людей катается на лыжах по лесу.
483358,728077,A guy with a surf board by a big wave.,Парень с доской для серфинга у большой волны.
484681,3007,A little boy smiles at the camera while pulling a backpack.,Маленький мальчик улыбается в камеру и тянет рюкзак.
355257,214254,A woman laying in a hospital bed hooded up to machines.,"Женщина лежит на больничной койке, подключенная к машинам."
172327,793783,A person swimming in the waves of a body of water.,Человек плавает в волнах водоема.
403675,755328,A guy holding a baseball bat is ready to play ball,Парень с бейсбольной битой готов играть в мяч
356622,348013,Four adults riding on a boat that is homemade.,Четверо взрослых катаются на самодельной лодке.
457901,186098,Three people in a room with one holding a plastic bat..,"Три человека в комнате, один из которых держит пластиковую биту.."
444928,221723,A group of men riding on the backs of horses in a field.,Группа мужчин верхом на лошадях в поле.
261471,372750,A city street with many different cars driving.,Улица города с множеством разных автомобилей.
143120,478839,A man holding a cookie or doughnut next to his mouth.,Мужчина держит печенье или пончик рядом со ртом.
310445,391429,There are people sitting at the table eating food,Люди сидят за столом и едят
19142,267186,A statue on top of a giant clock tower near a flag.,Статуя на вершине гигантской башни с часами рядом с флагом.
450202,254998,"A plate filled with food sitting next to three glasses.
",Тарелка с едой стоит рядом с тремя стаканами.
541627,274971,The runway has a few airplanes on it.,На взлетно-посадочной полосе стоит несколько самолетов.
271780,289650,A red parking meter next to some people,Красный парковочный счетчик рядом с некоторыми людьми
330053,518518,a lady observing a woman carrying two large bags and a man doing karate,"дама наблюдает за женщиной с двумя большими сумками и мужчиной, занимающимся карате"
248142,627101,Some people who are walking on the beach.,Какие-то люди гуляют по пляжу.
342204,490795,A couple of women together who are eating.,Пара женщин едят вместе.
270185,370363,a baseball playing is holding his bat and ready for the hit.,играющий в бейсбол держит биту и готов к удару.
9002,145440,There is a freshly made pizza out of the oven,свежеприготовленная пицца из печи
54344,522343,People getting ready to board a light plane on an airstrip.,Люди готовятся к посадке в легкий самолет на взлетно-посадочной полосе.
262394,100797,Motorcycle parked along the street next to a building.,Мотоцикл припаркован вдоль улицы рядом со зданием.
355513,32158,"A man standing on his snowboard  by the woods,","Мужчина стоит на сноуборде у леса,"
136596,375974,A few people are participating in water sports and some are in a boat.,"Несколько человек занимаются водными видами спорта, а некоторые плывут на лодке."
29573,429200,A suited man strides past ornate architectural feature.,Мужчина в костюме проходит мимо богато украшенного архитектурного элемента.
579815,201041,A man with glasses holding up a broken umbrella.,Мужчина в очках держит сломанный зонт.
186218,274363,The two men are outside with coats and umbrellas.,Двое мужчин снаружи с пальто и зонтиками.
48034,40663,A person skiing down the side of a snow covered field.,Человек катается на лыжах по склону заснеженного поля.
538236,126316,A tray filled with croissants with hotdogs in the middle,Поднос с круассанами и хот-догами посередине
58651,167229,A green train traveling through a train yard.,"Зеленый поезд, проходящий через депо."
225405,73722,Two boys are playing with a soccer ball.,Два мальчика играют с футбольным мячом.
490620,477788,A little girl sitting by a freshly made pizza.,Маленькая девочка сидит у свежеприготовленной пиццы.
350267,328051,Many people are listening to a lecture on their laptops.,Много людей смотрят лекцию на своих ноутбуках.
499618,812905,People walking on the street next to a truck with caged animals in it.,Люди идут по улице рядом с грузовиком с животными в клетках.
296524,676086,A man adjusting his tie while having a blurry hand.,Мужчина поправляет галстук с расплывчатой ​​рукой.
212226,459283,A person in a the reflection of a truck mirror.,Человек в отражении зеркала грузовика.
115765,268772,A group of young women standing under trees in a park.,"Группа молодых женщин, стоящих под деревьями в парке."
236674,712921,A city with lots of tall buildings and a gash station.,Город с множеством высотных зданий и заправочной станцией.
116341,226755,A group of children sitting at a table eating pieces of cake.,Группа детей сидит за столом и ест кусочки торта.
204805,64644,A large boat filled with men on wheels.,"Большая лодка на колесах, наполненная людьми."
463690,66080,The man is lying on the sidewalk with one leg in the air.,Мужчина лежит на тротуаре с одной ногой в воздухе.
355394,73034,A surfer is riding a wave in a green ocean.,Серфер катается на волне в зеленом океане.
224114,567059,A hotel resort with umbrellas and beach chairs.,Курортный отель с зонтиками и шезлонгами.
351747,486745,A man running with a baseball bat in his hand.,Мужчина бежит с бейсбольной битой в руке.
559171,255725,A man and woman ride on a red motorcycle with others in the background.,Мужчина и женщина едут на красном мотоцикле с другими людьми на заднем плане.
279499,76055,Two buses parked next to each other in a parking lot.,Два автобуса припарковались рядом на стоянке.
307531,493704,a dog running towards a frisbee in the air,собака бежит к фрисби в воздухе
273961,153554,a skateboarder in a black shirt is doing a trick,скейтбордист в черной рубашке делает трюк
330140,753691,A round picture of a train station with a tall building across the street.,Круглая картинка железнодорожного вокзала с высоким зданием через улицу.
472282,527028,A catcher crouching at the plate in a baseball game.,Кетчер приседает у базы во время бейсбольного матча.
555131,524491,a couple of people that are standing on a baseball diamond,"пара человек, которые стоят на бейсбольном ромбе"
318314,609581,This skateboarder shows a degree of athletic ability.,скейтбордист демонстрирует определенные спортивные способности.
473250,459747,there  is a painting of a woman holding a red umbrella,"картина женщины, держащей красный зонт"
314251,1879,A parade of motorcycles is going through a group of tall trees.,Парад мотоциклов проходит через группу высоких деревьев.
169438,309081,Children playing a game using Wii on a 13 inch TV.,Дети играют в игру на Wii на 13-дюймовом телевизоре.
472253,293032,A group of people in a conference room watching a televisions.,Группа людей в конференц-зале смотрит телевизор.
574141,337357,A man on skis cross country skiing through a snowy trail.,Человек на беговых лыжах по заснеженной тропе.
161060,475525,a bunch of donuts placed around some photos,куча пончиков вокруг некоторых фотографий
151970,400350,a head shot of an elephant with a man sitting in the back ground,"выстрел в голову слона с человеком, сидящим на заднем плане"
374010,582344,A man that is on a surfboard in the water.,"Человек, который находится на доске для серфинга в воде."
406555,171719,a person sitting down in front of a couch,"человек, сидящий перед диваном"
313342,375303,Miniature trains on tracks with miniature person standing in the middle.,"Миниатюрные поезда на рельсах с миниатюрным человеком, стоящим посередине."
282942,811216,The woman is pointing at a big cake.,Женщина указывает на большой торт.
345884,163017,A group of young men riding skateboards in a skate park.,Группа молодых людей катается на скейтбордах в скейт-парке.
377012,508443,a cat sitting in front of a tv while watching a hocket game on tv,кот сидит перед телевизором и смотрит хоккейный матч по телевизору
20070,60957,Man using a hair dryer in a small bathroom,Мужчина с феном в маленькой ванной
320944,685970,A crowd of people walking down a street.,"Толпа людей, идущих по улице."
166255,117503,A group of men and women riding horses in the dark.,Группа мужчин и женщин верхом на лошадях в темноте.
18358,783858,a person riding a surf board on a wave,человек катается на доске для серфинга на волне
117891,154086,A gray and white cat sitting in blue bowl.,Серо-белый кот сидит в синей миске.
419444,436626,A young man is on his skateboard with headphones in.,Молодой человек катается на скейтборде в наушниках.
258915,723689,A man lounging in a field where cows are grazing.,"Мужчина отдыхает в поле, где пасутся коровы."
155216,782547,A stoplight on yellow during a snowy day.,Стоп-сигнал на желтом в снежный день.
205523,318737,A blurred cat sitting in front of a screen.,Размытая кошка сидит перед экраном.
379144,47252,A blue dump truck driving down the highway.,Синий самосвал едет по шоссе.
271471,373620,A bunch of bananas on a plate on a counter.,Куча бананов на тарелке на прилавке.
58937,778752,A wooden table filled with wine glasses and a bowl of salad.,"Деревянный стол, заполненный бокалами с тарелкой салата."
188866,690907,A girl sitting down with a donut in her hand.,Девушка сидит с пончиком в руке.
525381,95886,A batter swings hard at a low ball as the catcher reaches out his glove.,"Отбивающий сильно замахивается на низкий мяч, в то время как кэтчер протягивает перчатку."
65655,815215,a group of people siting a a table with plates of food,"группа людей, сидящих за столом с тарелками с едой"
274455,717521,A man riding a skateboard on top of pavement.,Мужчина катается на скейтборде по тротуару.
207019,567200,A baseball player wearing a catchers mitt on a field.,Бейсболист в перчатке ловца на поле.
149903,312049,a man with a surfboard hooked up to some parachute.,"мужчина с доской для серфинга, привязанный к какому-то парашюту."
80340,427273,A boy in a tie holding a small suit case.,Мальчик в галстуке держит чемоданчик.
498765,549198,A man sitting on a couch holding food in his hands.,Мужчина сидит на диване и держит в руках еду.
41279,66998,Two people eating pizza and drinking a soft drink,Два человека едят пиццу и пьют безалкогольный напиток
487931,644043,a group of kids playing a game of soccer,группа детей играет в футбол
258395,712380,A red fire truck driving down a  street.,Красная пожарная машина едет по улице.
342318,656351,A train is pulling up to a platform to pick up passengers.,"Поезд подъезжает к платформе, чтобы забрать пассажиров."
536154,42524,A smiling child surrounded by numerous stuffed animals.,Улыбающийся ребенок в окружении многочисленных мягких игрушек.
164325,173931,A group of people with luggage waiting by a door,Группа людей с багажом ждет у двери
200058,563993,A person on a snowboard in the snow.,Человек на сноуборде в снегу.
190637,88188,a small child laying in bed playing nintendo wii,маленький ребенок лежит в постели и играет в nintendo wii
100090,440830,A plate holds pasta and broccoli in a light sauce.,На тарелке макароны и брокколи в легком соусе.
529122,748099,The people are selecting their donuts at the counter.,Люди выбирают пончики у прилавка.
346642,574297,A lagoon with crystal blue water filled with boats.,"Лагуна с кристально чистой водой, наполненная лодками."
134322,96999,"Kite flying between water area and building complex, probably Japan.","Полет воздушного змея между акваторией и строительным комплексом, вероятно, Япония."
524333,747766,A group of people sitting around a table.,Группа людей сидит вокруг стола.
220382,747578,this is a man riding on some skis,это мужчина катается на лыжах
289949,537023,Old cars and horse drawn carriage on a tropical city street.,Старые автомобили и конный экипаж на улице тропического города.
88552,300405,"Two little boys are wearing helmets, goggles and snow gear as they stand and sit in the middle of the snowy terrain.","Два маленьких мальчика в шлемах, очках и снегоступах стоят и сидят посреди заснеженной местности."
190014,733449,the young man is set to snowboard at this skiing location.,молодой человек собирается кататься на сноуборде в этом месте для катания на лыжах.
539874,712000,A man wearing a red and black neck tie.,Мужчина в красно-черном галстуке.
537069,475392,A boy swinging a bat at a ball.,Мальчик бьет битой по мячу.
403736,397647,A boy is helping a smaller boy on skis in shallow snow.,Мальчик помогает мальчику поменьше на лыжах по мелкому снегу.
485844,650704,a lady that has a bowl in her hand,дама с чашей в руке
3382,645322,People in navy uniforms and one person talking on a walkie- talkie.,Люди в морской форме и один человек разговаривают по рации.
92519,234562,A table of desserts that include cakes and pastries.,"Таблица десертов, включающая торты и выпечку."
391222,433850,Two female skiers are standing in the snow wearing purple attire.,Две лыжницы стоят на снегу в фиолетовых одеждах.
324340,416782,A woman holding up three apples in one hand.,Женщина держит в одной руке три яблока.
543218,361762,A skier is enjoying a day of the sport in the snow.,Лыжник наслаждается спортом на снегу.
356528,58158,Three monitors sitting on a table one with a view of a baseball game.,Три монитора сидят на столе один с видом на бейсбольный матч.
185989,360257,An announcer with a microphone talking to a crowd.,Диктор с микрофоном разговаривает с толпой.
477500,807115,Two people who are sitting on mopeds in the street.,"Два человека, которые сидят на мопедах на улице."
434488,693005,"A clock tower, with a sky scrapper next to it.",Башня с часами и небоскреб рядом с ней.
235278,733206,Two old men laughing at a dinner table in suits.,Двое стариков смеются за обеденным столом в костюмах.
509577,719532,A table topped with two glass containers of food.,Стол с двумя стеклянными контейнерами с едой.
523527,685116,A zebra standing at the edge of a pond.,Зебра стоит на краю пруда.
556248,472605,Birds walking around on a large rock by the ocean,Птицы гуляют по большой скале у океана
270593,279021,a herd of elephants traveling on a grassy area next to a lake,стадо слонов путешествует по травянистой местности рядом с озером
553081,670909,A family of giraffes stand together beside a wood fence.,Семья жирафов стоит вместе у деревянного забора.
218924,174671,an image of a cat in a toilet with the water,изображение кота в туалете с водой
222235,127936,A cat is playing with a plan in a park.,Кошка играет с планом в парке.
559047,610152,A cat that is sitting down on a wooden seat.,"Кошка, которая сидит на деревянном сиденье."
199940,49644,A black cat rubbing up against a bottle of wine.,Черный кот трется о бутылку вина.
489257,656654,A cat looks at the camera while lying in the window,"Кот смотрит в камеру, лежа в окне"
314140,759303,A cat is laying on a desk staring at a computer mouse.,Кот лежит на столе и смотрит на компьютерную мышь.
413235,344779,Very cute cat laying on couch holding the remote control,Очень милый кот лежит на диване с пультом дистанционного управления
568559,111896,A black cat is sitting on a wood desk.,Черный кот сидит на деревянном столе.
16025,490493,The grey cat with white feet sits on a televsion set.,Серый кот с белыми ногами сидит на телевизоре.
348720,3216,Two cats on a toilet tank looking out a window together.,Две кошки на бачке унитаза вместе смотрят в окно.
37907,472464,a cat on top of different kinds of electronics,кошка поверх разной электроники
87377,246997,pretty cat hiding inside of a brown suitcase,красивая кошка прячется внутри коричневого чемодана
380117,78607,A cat is laying curled up on a table surrounded by greenery.,Кот лежит свернувшись калачиком на столе в окружении зелени.
363853,212032,A cat sitting on a chair with a bag under its  paw,Кот сидит на стуле с сумкой под лапой
87595,518807,A white cat sitting on a bed next to a night stand.,Белый кот сидит на кровати рядом с тумбочкой.
565797,459994,An orange striped tabby cat laying on top of a red vehicle's wheel.,Оранжевый полосатый полосатый кот лежит на колесе красного автомобиля.
158354,630912,a white cat sits underneath an umbrella,белый кот сидит под зонтом
226938,351334,Two cats laying next to each other on top of a bed.,Две кошки лежат рядом друг с другом на кровати.
489687,450349,A cat sitting on top of a a black car.,Кот сидит на черной машине.
378751,106538,A cat sprawled out on a couch with a remote on the arm,Кот растянулся на диване с пультом на руке
372983,326,A cat sitting outside on a bench on a sunny day.,Кот сидит на скамейке в солнечный день.
433075,640193,An orange and white cat laying inside of a black pot.,Оранжево-белая кошка лежит в черном горшке.
304741,418630,A black dog lays his head on a book of maps.,Черная собака кладет голову на книгу карт.
503668,414369,A shaggy dog lying on a green and blue blanket.,Лохматая собака лежит на зеленом и синем одеяле.
181763,180638,A black and white dog wearing a white hat.,Черно-белая собака в белой шляпе.
203292,113409,Outside a window of an old large house,За окном старого большого дома
93360,588371,A small dog is jumping into the air and catching a frisbee.,Маленькая собачка прыгает в воздух и ловит фрисби.
287846,809433,"A dog holding a ball in its mouth, near the water.",Собака держит мяч в пасти у воды.
199641,80443,A dog leaping outside to catch a frisbee.,"Собака выпрыгивает на улицу, чтобы поймать фрисби."
135748,258893,A tiny dog in a doggy bed covered with a blanket.,"Крошечная собака в собачьей постели, покрытая одеялом."
347666,748482,A dog and a horse standing near each other.,Собака и лошадь стоят рядом друг с другом.
143483,713189,"a living room with a brown coach, leading into dining room with big window.","гостиная с коричневой каретой, ведущая в столовую с большим окном."
260699,203458,A large black pick up truck with a dog riding on it's flatbed.,"Большой черный пикап, на платформе которого едет собака."
445371,86691,A brown dog tied up to a brown wooden bench next to a street.,Коричневая собака привязана к коричневой деревянной скамье рядом с улицей.
425591,490108,A dog and a cat sitting in a chair.,Собака и кошка сидят в кресле.
180373,199343,A cat standing in front of a TV showing a dog in a  cage.,"Кошка, стоящая перед телевизором, показывает собаку в клетке."
515668,147653,A dog chasing a white frisbee on a dirty and grass park.,Собака гоняется за белой фрисби в грязном травяном парке.
68005,706815,a dog with a plate of food on the ground,собака с тарелкой еды на земле
195815,477929,A large dog sitting in a  chair next to a glass top table.,Большая собака сидит в кресле рядом со стеклянным столом.
